0 0 1.0  无将 1.0
0 1 0.05610859728506787  有将 0.05610859728506787
2 0 0.03320683111954459 北北 无将 0.03320683111954459
2 1 1.0 北北 有将 1.0
4100 0 0.0 东东东东南 无将 0.0
4100 1 0.0 东东东东南 有将 0.0
1031 0 0.005115089514066496 东西西西北 无将 0.005115089514066496
1031 1 0.014705882352941176 东西西西北 有将 0.014705882352941176
3 0 1.0 北北北 无将 1.0
4101 0 0.0 东东东东南北 无将 0.0
4101 1 0.0 东东东东南北 有将 0.0
4 0 0.0 北北北北 无将 0.0
1 0 0.014165666266506602 北 无将 0.014165666266506602
4 1 0.0 北北北北 有将 0.0
1032 0 0.00784313725490196 东西西西北北 无将 0.00784313725490196
3 1 0.0499108734402852 北北北 有将 0.0499108734402852
4103 0 0.0 东东东东南北北北 无将 0.0
1030 0 0.016993464052287584 东西西西 无将 0.016993464052287584
4102 0 0.0 东东东东南北北 无将 0.0
1030 1 0.044117647058823525 东西西西 有将 0.044117647058823525
4103 1 0.0 东东东东南北北北 有将 0.0
1032 1 0.0421865715983363 东西西西北北 有将 0.0421865715983363
1 1 0.04325259515570933 北 有将 0.04325259515570933
1033 0 0.022549019607843137 东西西西北北北 无将 0.022549019607843137
1033 1 0.045098039215686274 东西西西北北北 有将 0.045098039215686274
1034 0 0.0 东西西西北北北北 无将 0.0
1034 1 0.0 东西西西北北北北 有将 0.0
11 0 0.0035650623885918 西北 无将 0.0035650623885918
11 1 0.011764705882352941 西北 有将 0.011764705882352941
12 0 0.006191950464396284 西北北 无将 0.006191950464396284
12 1 0.03529411764705882 西北北 有将 0.03529411764705882
10 0 0.014165666266506602 西 无将 0.014165666266506602
10 1 0.04325259515570933 西 有将 0.04325259515570933
14 0 0.0 西北北北北 无将 0.0
14 1 0.0 西北北北北 有将 0.0
4110 0 0.0 东东东东南西 无将 0.0
4110 1 0.0 东东东东南西 有将 0.0
4111 0 0.0 东东东东南西北 无将 0.0
4111 1 0.0 东东东东南西北 有将 0.0
1040 0 0.0 东西西西西 无将 0.0
1040 1 0.0 东西西西西 有将 0.0
13 0 0.016993464052287584 西北北北 无将 0.016993464052287584
13 1 0.044117647058823525 西北北北 有将 0.044117647058823525
1041 0 0.0 东西西西西北 无将 0.0
1041 1 0.0 东西西西西北 有将 0.0
1024 0 0.0 东西西北北北北 无将 0.0
1024 1 0.0 东西西北北北北 有将 0.0
4113 0 0.0 东东东东南西北北北 无将 0.0
4113 1 0.0 东东东东南西北北北 有将 0.0
1042 0 0.0 东西西西西北北 无将 0.0
1042 1 0.0 东西西西西北北 有将 0.0
4114 0 0.0 东东东东南西北北北北 无将 0.0
4114 1 0.0 东东东东南西北北北北 有将 0.0
1043 0 0.0 东西西西西北北北 无将 0.0
1043 1 0.0 东西西西西北北北 有将 0.0
20 0 0.03320683111954459 西西 无将 0.03320683111954459
1044 0 0.0 东西西西西北北北北 无将 0.0
20 1 1.0 西西 有将 1.0
1044 1 0.0 东西西西西北北北北 有将 0.0
21 0 0.006191950464396284 西西北 无将 0.006191950464396284
21 1 0.03529411764705882 西西北 有将 0.03529411764705882
22 0 0.01522491349480969 西西北北 无将 0.01522491349480969
22 1 0.07625272331154685 西西北北 有将 0.07625272331154685
